id,name,date,diameter_min_km,diameter_max_km,hazardous,velocity_km_s,miss_distance_km
3739379,(2016 AW64),2026-03-10,0.0689532874,0.154184238,False,10.7580967565,28677610.9872813
3745831,(2016 EJ55),2026-03-10,0.0319561887,0.0714562102,False,13.7821587452,34576004.23047182
3771608,(2017 FZ),2026-03-10,0.0573528464,0.1282448632,False,19.1611369404,34738584.39810765
3785769,(2017 TJ4),2026-03-10,0.0242412481,0.0542050786,False,15.2344280916,67582400.12777492
3840879,(2019 GL5),2026-03-10,0.1864468183,0.41690776,False,27.1670116256,15537588.397645108
3071762,(2001 EC16),2026-03-11,0.0888290416,0.1986277755,False,15.6678424281,28900877.34101686
3092085,(2001 QM163),2026-03-11,0.2682594171,0.5998462923,False,21.5644478328,23973102.275279105
3267321,(2005 CR37),2026-03-11,0.4411182,0.9863702813,False,15.1878542443,34384329.969882645
3674069,(2014 MR26),2026-03-11,0.6230960191,1.3932850552,True,24.9617232184,18574196.30382358
3731244,(2015 TE323),2026-03-11,0.573528464,1.2824486324,True,11.1223235871,18781006.652502544
3989301,(2020 BP13),2026-03-11,0.1565146436,0.3499773825,True,12.3872465504,37576481.97715767
3147579,(2003 CA4),2026-03-09,0.0506471459,0.1132504611,False,9.2888107512,29729653.400441904
3445544,(2009 CE),2026-03-09,0.0366906138,0.0820427065,False,20.1368509657,73529405.96177107
3600106,(2012 DJ54),2026-03-09,0.0053034072,0.0118587791,False,10.5310509872,25451689.878816504
3607729,(2012 QD8),2026-03-09,0.067383719,0.1506745763,False,21.3415525054,2971340.524666589
3724221,(2015 ME131),2026-03-09,0.3065878759,0.6855513317,True,22.4262851569,59924312.42181443
3786458,(2017 UG),2026-03-09,0.008405334,0.0187948982,False,10.8945801148,44712027.46476343
54054410,(2020 RX8),2026-03-09,0.3194147569,0.7142331095,True,22.4291046966,59891758.48916288
3713008,(2015 EX),2026-03-08,0.0166937912,0.0373284519,False,10.6790808547,562319.588877741
54606183,(2026 EK1),2026-03-08,0.0138725078,0.0310198704,False,10.6766217293,562175.810364884
3840689,(2019 FO),2026-03-14,0.0305179233,0.0682401509,False,14.3631183312,43815105.34193366
3325676,(2006 EF1),2026-03-12,0.0692715614,0.1548959201,False,20.2895968108,52776072.7171911
3663466,(2014 EB4),2026-03-12,0.0175612318,0.0392681082,False,8.9041368134,5688102.859100891
3712886,(2015 DW215),2026-03-12,0.0802703167,0.1794898848,False,0.7732337524,49210433.770086855
3747315,(2016 EM157),2026-03-12,0.0110803882,0.0247765013,False,14.3485134626,29854657.75460858
3771609,(2017 FG1),2026-03-12,0.0192555078,0.0430566244,False,12.2477918735,10259799.65922175
3837917,(2019 AM13),2026-03-12,0.1034081995,0.2312277636,False,34.5133194416,21157887.533106983
3843915,(2019 SQ1),2026-03-12,0.0080270317,0.0179489885,False,20.2905158305,71470631.02415994
3519453,(2010 JA),2026-03-13,0.0105816886,0.023661375,False,7.5717949398,64389321.01762015
3574593,(2011 ON24),2026-03-13,0.0667659413,0.1492931834,False,7.4306221408,71096934.55755399
